 1   0   0x03F8
 2   0   0x0d08
 3   0   0x2007
 4   0   0x2009
 5   0   0x2002
 6   0   0x2003
 7   0   0x2003
 8  -0.1 0x1ff0
 9  -0.1 0x1ffe
 10 -0.1 0x1f30
 11 -0.1 0x1fb3
 12 -0.1 0x1f9f
 13 -0.1 0x1f9b
 14 -0.5 0x1ea4
 15 -0.5 0x1e50
 16 -0.5 0x1b08
 17 -0.5 0x199f
 18 -0.5 0x198e
 19 -1.0 0x199a
 20 -1.0 0x19a0
 21 -1.0 0x19b8
 22 -1.0 0x133d
 23 -1.0 0x1333
 24 -1.0 0x133a
 25 -2.0 0x1336
 26 -2.0 0x133f
 27 -2.0 0x1339
 28 -2.0 0x0656
 29 -2.0 0x0652
 30 -2.0 0x064e
 31  1.0 0x064d
 32  1.0 0x0656
 33  1.0 0x0648
 34  1.0 0x26d4
 35  1.0 0x2cc4
 36  1.0 0x2cce
 37  1.0 0x2cce
 38  2.0 0x2cd3
 39  2.0 0x2cce
 40  2.0 0x2ccd
 41  2.0 0x39e8
 42  2.0 0x39f9
 43  2.0 0x39fa
 44  3.0 0x39e5
 45  3.0 0x39f0
 46  3.0 0x39e3
 47  3.0 0x7fff
 48  3.0 0x7fff
 49  3.0 0x7fff
 50  2.5 0x7fff
 51  2.5 0x7fff
 52  2.5 0x7fff
 53  2.5 0x7fff
 54  2.5 0x7fff
 55  2.5 0x7fff
 56  0.0 0x39c3
 57  0.0 0x39bc
 58  0.0 0x202e
 59  0.0 0x202d
 60  0.0 0x2022
 61  3.1 0x2018
 62  3.1 0x1d08
 63  3.1 0x2028
 64  3.1 0x7fff
 65  3.1 0x7fff
 66  3.1 0x7fff
 67  0.0 0x7777
 68  0.0 0x7777
 69  0.0 0x7777
 70  0.0 0x2049
 71  0.0 0x2050
 72  0.0 0x2044
 73  2.1 0x2053
 74  2.1 0x2048
 75  2.1 0x2042
 76  2.1 0x3b37
 77  2.1 0x3b3e
 78  2.1 0x3b32
 79  2.2 0x3b35
 80  2.2 0x3b40
 81  2.2 0x3bc0
 82  2.2 0x3c6b
 83  2.2 0x3c60
 84  2.2 0x3c6f
 85  2.3 0x3c71
 86  2.3 0x3c92
 87  2.3 0x3c7e
 88  2.3 0x3db4
 89  2.3 0x3dc1
 90  2.3 0x3dbe
 91 -2.2 0x3dc7 
 92 -2.2 0x3dbb
 93 -2.2 0x3db8
 94 -2.2 0x03d3
 95 -2.2 0x03d8
 96 -2.2 0x03c9
 97 -2.4 0x03cb
 98 -2.4 0x03d0
 99 -2.4 0x03b9
100 -2.4 0x0142
101 -2.4 0x0165
102 -2.4 0x0167
103 -2.5 0x0165
104 -2.5 0x016b
105 -2.5 0x0117
106 -2.5 0x0001
107 -2.5 0x0009
108 -2.5 0x000b
